customer_id,txn_date,amount,category
44,2025-01-10,112.43,travel
55,2025-01-10,52.64,travel
63,2025-01-10,56.73,utilities
75,2025-01-10,31.71,dining
82,2025-01-10,45.98,retail
96,2025-01-10,7.1,fuel
100,2025-01-10,20.37,dining
104,2025-01-10,30.56,groceries
113,2025-01-10,62.6,travel
10,2025-01-11,36.86,utilities
16,2025-01-11,17.11,fuel
19,2025-01-11,25.58,groceries
24,2025-01-11,54.83,fuel
44,2025-01-11,15.42,groceries
48,2025-01-11,36.95,fuel
74,2025-01-11,13.25,dining
80,2025-01-11,13.34,dining
116,2025-01-11,55.08,groceries
120,2025-01-11,17.76,retail
14,2025-01-12,71.36,fuel
30,2025-01-12,247.7,fuel
37,2025-01-12,44.06,utilities
50,2025-01-12,33.88,utilities
57,2025-01-12,12.33,retail
70,2025-01-12,28.95,fuel
73,2025-01-12,26.16,retail
78,2025-01-12,54.31,dining
79,2025-01-12,46.41,groceries
83,2025-01-12,20.45,utilities
88,2025-01-12,16.58,fuel
97,2025-01-12,22.7,retail
108,2025-01-12,99.0,utilities
112,2025-01-12,10.84,dining
119,2025-01-12,34.53,retail
6,2025-01-13,28.0,fuel
14,2025-01-13,30.19,dining
16,2025-01-13,39.54,travel
20,2025-01-13,94.2,retail
21,2025-01-13,15.84,fuel
22,2025-01-13,71.83,travel
27,2025-01-13,9.11,utilities
35,2025-01-13,60.96,groceries
39,2025-01-13,13.29,dining
41,2025-01-13,8.53,fuel
58,2025-01-13,26.74,fuel
59,2025-01-13,44.95,groceries
61,2025-01-13,56.74,utilities
63,2025-01-13,50.61,retail
64,2025-01-13,15.53,dining
66,2025-01-13,64.69,fuel
75,2025-01-13,45.47,fuel
78,2025-01-13,56.88,travel
90,2025-01-13,315.86,retail
99,2025-01-13,31.43,groceries
101,2025-01-13,23.48,dining
105,2025-01-13,79.02,retail
107,2025-01-13,49.88,retail
114,2025-01-13,31.73,retail
117,2025-01-13,50.6,dining
34,2025-01-14,10.88,fuel
39,2025-01-14,23.03,utilities
43,2025-01-14,7.83,groceries
45,2025-01-14,32.16,groceries
47,2025-01-14,196.37,travel
48,2025-01-14,9.88,utilities
50,2025-01-14,29.71,dining
51,2025-01-14,67.9,retail
54,2025-01-14,20.45,utilities
57,2025-01-14,106.97,travel
60,2025-01-14,8.17,dining
67,2025-01-14,34.29,dining
81,2025-01-14,153.25,retail
84,2025-01-14,15.99,retail
85,2025-01-14,42.19,utilities
90,2025-01-14,51.79,dining
101,2025-01-14,23.19,groceries
115,2025-01-14,50.43,utilities
2,2025-01-15,126.71,groceries
4,2025-01-15,16.95,dining
8,2025-01-15,12.0,utilities
25,2025-01-15,14.56,retail
32,2025-01-15,20.57,dining
37,2025-01-15,55.15,dining
40,2025-01-15,40.06,dining
48,2025-01-15,74.45,dining
49,2025-01-15,24.02,travel
50,2025-01-15,26.34,retail
52,2025-01-15,39.39,fuel
53,2025-01-15,28.1,fuel
60,2025-01-15,8.12,groceries
65,2025-01-15,32.17,groceries
71,2025-01-15,6.09,retail
76,2025-01-15,7.75,dining
77,2025-01-15,63.22,groceries
88,2025-01-15,25.56,utilities
98,2025-01-15,4.94,utilities
106,2025-01-15,163.1,utilities
109,2025-01-15,134.29,groceries
118,2025-01-15,79.07,dining
5,2025-01-16,47.26,travel
22,2025-01-16,30.08,retail
49,2025-01-16,80.1,fuel
74,2025-01-16,116.5,travel
84,2025-01-16,41.4,retail
93,2025-01-16,26.15,fuel
108,2025-01-16,48.15,dining
111,2025-01-16,77.66,groceries
114,2025-01-16,50.59,groceries
4,2025-01-17,51.34,utilities
8,2025-01-17,21.44,dining
13,2025-01-17,103.89,travel
28,2025-01-17,101.4,retail
31,2025-01-17,128.22,dining
34,2025-01-17,20.45,groceries
37,2025-01-17,8.8,travel
41,2025-01-17,106.78,groceries
42,2025-01-17,18.66,fuel
43,2025-01-17,9.39,groceries
46,2025-01-17,16.84,utilities
62,2025-01-17,158.46,utilities
64,2025-01-17,66.87,fuel
107,2025-01-17,83.58,retail
3,2025-01-18,68.61,utilities
7,2025-01-18,764.56,dining
18,2025-01-18,43.33,dining
20,2025-01-18,16.65,dining
28,2025-01-18,30.02,utilities
45,2025-01-18,54.28,utilities
65,2025-01-18,25.88,retail
75,2025-01-18,37.33,travel
80,2025-01-18,31.33,retail
86,2025-01-18,101.32,dining
92,2025-01-18,139.79,retail
95,2025-01-18,6.75,groceries
120,2025-01-18,4.78,retail
6,2025-01-19,25.36,fuel
11,2025-01-19,36.55,groceries
15,2025-01-19,103.23,dining
22,2025-01-19,26.39,dining
43,2025-01-19,28.73,groceries
47,2025-01-19,12.11,retail
53,2025-01-19,28.0,retail
54,2025-01-19,5.97,retail
70,2025-01-19,5.44,dining
74,2025-01-19,48.18,travel
78,2025-01-19,32.38,dining
79,2025-01-19,31.77,retail
81,2025-01-19,226.9,fuel
87,2025-01-19,6.22,fuel
89,2025-01-19,7.57,retail
94,2025-01-19,79.7,travel
103,2025-01-19,105.36,groceries
106,2025-01-19,46.75,travel
110,2025-01-19,23.74,travel
115,2025-01-19,28.78,utilities
6,2025-01-20,45.76,dining
12,2025-01-20,15.58,retail
18,2025-01-20,65.12,retail
23,2025-01-20,76.81,fuel
25,2025-01-20,98.22,fuel
26,2025-01-20,30.78,fuel
30,2025-01-20,13.5,travel
33,2025-01-20,31.39,retail
35,2025-01-20,57.74,utilities
38,2025-01-20,33.57,utilities
49,2025-01-20,71.94,utilities
56,2025-01-20,6.68,dining
95,2025-01-20,17.27,utilities
96,2025-01-20,29.34,dining
102,2025-01-20,146.01,dining
1,2025-01-21,7.61,retail
10,2025-01-21,44.03,dining
11,2025-01-21,57.81,dining
19,2025-01-21,18.69,travel
22,2025-01-21,22.44,travel
26,2025-01-21,50.66,utilities
40,2025-01-21,42.07,groceries
43,2025-01-21,27.58,retail
56,2025-01-21,110.59,retail
66,2025-01-21,96.76,retail
88,2025-01-21,30.87,dining
104,2025-01-21,160.79,retail
113,2025-01-21,116.59,travel
3,2025-01-22,169.41,fuel
4,2025-01-22,122.94,dining
5,2025-01-22,36.35,retail
12,2025-01-22,37.48,retail
15,2025-01-22,26.58,fuel
17,2025-01-22,29.95,travel
21,2025-01-22,22.01,fuel
29,2025-01-22,14.63,groceries
36,2025-01-22,12.39,dining
57,2025-01-22,85.94,travel
59,2025-01-22,59.9,retail
64,2025-01-22,15.22,fuel
65,2025-01-22,197.23,dining
69,2025-01-22,58.36,dining
70,2025-01-22,60.17,travel
71,2025-01-22,27.57,groceries
72,2025-01-22,25.63,groceries
83,2025-01-22,4.23,utilities
91,2025-01-22,56.35,dining
94,2025-01-22,85.59,retail
104,2025-01-22,14.07,groceries
107,2025-01-22,15.49,fuel
109,2025-01-22,93.81,utilities
118,2025-01-22,105.3,utilities
3,2025-01-23,3.93,retail
9,2025-01-23,76.64,dining
21,2025-01-23,64.4,travel
22,2025-01-23,65.95,dining
29,2025-01-23,8.2,dining
31,2025-01-23,8.62,utilities
43,2025-01-23,19.67,dining
55,2025-01-23,75.37,dining
59,2025-01-23,134.1,travel
68,2025-01-23,28.4,utilities
79,2025-01-23,23.6,dining
82,2025-01-23,94.29,travel
83,2025-01-23,99.35,retail
94,2025-01-23,71.56,travel
101,2025-01-23,77.46,groceries
112,2025-01-23,510.03,groceries
5,2025-01-24,19.91,retail
8,2025-01-24,34.73,retail
20,2025-01-24,39.84,utilities
42,2025-01-24,82.11,fuel
44,2025-01-24,60.57,fuel
46,2025-01-24,6.33,travel
54,2025-01-24,26.35,fuel
58,2025-01-24,24.26,groceries
63,2025-01-24,16.34,groceries
64,2025-01-24,29.36,travel
73,2025-01-24,39.3,groceries
80,2025-01-24,32.39,groceries
100,2025-01-24,7.74,utilities
111,2025-01-24,186.72,utilities
116,2025-01-24,31.31,dining
117,2025-01-24,110.18,retail
4,2025-01-25,18.1,travel
24,2025-01-25,9.97,fuel
44,2025-01-25,48.5,fuel
60,2025-01-25,21.5,dining
66,2025-01-25,53.39,fuel
70,2025-01-25,75.22,retail
71,2025-01-25,40.77,groceries
86,2025-01-25,29.09,retail
93,2025-01-25,72.97,travel
100,2025-01-25,8.96,dining
119,2025-01-25,40.59,groceries
8,2025-01-26,57.95,travel
11,2025-01-26,40.14,dining
14,2025-01-26,65.23,utilities
27,2025-01-26,32.24,travel
41,2025-01-26,35.18,utilities
51,2025-01-26,42.19,fuel
56,2025-01-26,11.36,utilities
61,2025-01-26,13.73,dining
67,2025-01-26,51.76,fuel
70,2025-01-26,39.34,utilities
77,2025-01-26,92.64,travel
78,2025-01-26,70.36,dining
85,2025-01-26,15.88,fuel
88,2025-01-26,85.72,travel
97,2025-01-26,15.17,utilities
103,2025-01-26,11.03,retail
105,2025-01-26,135.54,travel
113,2025-01-26,5.92,groceries
1,2025-01-27,107.68,fuel
2,2025-01-27,45.62,retail
16,2025-01-27,24.65,groceries
23,2025-01-27,67.9,fuel
32,2025-01-27,19.62,groceries
34,2025-01-27,61.47,groceries
37,2025-01-27,101.46,travel
39,2025-01-27,16.14,utilities
40,2025-01-27,14.59,retail
52,2025-01-27,74.37,retail
57,2025-01-27,72.56,groceries
62,2025-01-27,9.88,fuel
75,2025-01-27,58.08,travel
84,2025-01-27,28.13,fuel
90,2025-01-27,130.51,utilities
95,2025-01-27,27.12,travel
99,2025-01-27,81.07,groceries
114,2025-01-27,48.75,groceries
30,2025-01-28,31.57,utilities
33,2025-01-28,10.98,groceries
46,2025-01-28,70.35,fuel
49,2025-01-28,7.38,travel
73,2025-01-28,167.6,travel
86,2025-01-28,76.41,groceries
101,2025-01-28,112.58,fuel
103,2025-01-28,35.0,dining
108,2025-01-28,70.39,travel
10,2025-01-29,154.49,travel
13,2025-01-29,70.6,groceries
18,2025-01-29,38.89,retail
19,2025-01-29,22.29,retail
31,2025-01-29,37.31,dining
44,2025-01-29,76.79,travel
45,2025-01-29,19.93,dining
48,2025-01-29,100.47,retail
50,2025-01-29,23.92,travel
76,2025-01-29,10.46,retail
81,2025-01-29,27.71,retail
89,2025-01-29,12.74,dining
97,2025-01-29,84.6,utilities
98,2025-01-29,22.51,utilities
104,2025-01-29,7.39,fuel
115,2025-01-29,25.68,fuel
118,2025-01-29,19.72,dining
119,2025-01-29,79.92,fuel
6,2025-01-30,31.84,travel
7,2025-01-30,26.92,dining
16,2025-01-30,348.0,utilities
17,2025-01-30,46.39,groceries
35,2025-01-30,43.01,utilities
43,2025-01-30,8.55,utilities
47,2025-01-30,188.55,retail
56,2025-01-30,55.57,retail
62,2025-01-30,20.78,retail
64,2025-01-30,40.39,dining
70,2025-01-30,47.37,dining
71,2025-01-30,37.39,groceries
87,2025-01-30,71.24,travel
96,2025-01-30,23.68,dining
102,2025-01-30,60.87,utilities
110,2025-01-30,225.08,dining
120,2025-01-30,13.96,utilities
5,2025-01-31,190.7,travel
11,2025-01-31,392.01,retail
12,2025-01-31,60.51,travel
16,2025-01-31,18.08,groceries
28,2025-01-31,15.09,groceries
29,2025-01-31,21.54,fuel
30,2025-01-31,14.52,retail
43,2025-01-31,28.84,dining
47,2025-01-31,154.89,retail
53,2025-01-31,16.65,groceries
57,2025-01-31,372.24,groceries
66,2025-01-31,101.72,retail
68,2025-01-31,172.84,groceries
69,2025-01-31,20.26,utilities
73,2025-01-31,25.01,dining
80,2025-01-31,35.92,utilities
82,2025-01-31,24.95,fuel
86,2025-01-31,360.91,retail
88,2025-01-31,9.57,retail
108,2025-01-31,71.79,groceries
111,2025-01-31,8.58,travel
115,2025-01-31,3.7,travel
8,2025-02-01,69.44,travel
9,2025-02-01,9.72,utilities
11,2025-02-01,11.54,utilities
20,2025-02-01,59.14,retail
25,2025-02-01,220.77,retail
35,2025-02-01,19.26,dining
38,2025-02-01,55.09,dining
65,2025-02-01,31.37,fuel
68,2025-02-01,90.15,groceries
75,2025-02-01,29.88,travel
92,2025-02-01,22.32,groceries
93,2025-02-01,65.1,fuel
100,2025-02-01,10.52,fuel
107,2025-02-01,12.78,utilities
109,2025-02-01,12.7,groceries
119,2025-02-01,53.51,fuel
120,2025-02-01,186.76,travel
12,2025-02-02,15.34,groceries
24,2025-02-02,89.52,utilities
26,2025-02-02,24.86,travel
27,2025-02-02,7.08,dining
32,2025-02-02,16.56,fuel
33,2025-02-02,45.55,fuel
36,2025-02-02,94.93,retail
43,2025-02-02,12.22,dining
44,2025-02-02,60.93,utilities
54,2025-02-02,18.53,dining
59,2025-02-02,72.55,dining
68,2025-02-02,55.32,dining
74,2025-02-02,17.63,travel
91,2025-02-02,23.53,utilities
97,2025-02-02,57.96,retail
99,2025-02-02,19.01,travel
106,2025-02-02,61.26,groceries
115,2025-02-02,36.6,retail
1,2025-02-03,25.07,dining
12,2025-02-03,122.83,fuel
53,2025-02-03,20.55,utilities
55,2025-02-03,21.76,utilities
61,2025-02-03,339.53,travel
72,2025-02-03,9.13,fuel
78,2025-02-03,19.99,utilities
79,2025-02-03,39.17,fuel
83,2025-02-03,59.78,fuel
94,2025-02-03,60.6,dining
97,2025-02-03,17.88,retail
116,2025-02-03,25.28,travel
118,2025-02-03,50.25,dining
3,2025-02-04,18.83,fuel
15,2025-02-04,59.51,dining
17,2025-02-04,3.73,fuel
20,2025-02-04,17.12,travel
21,2025-02-04,9.85,fuel
22,2025-02-04,731.02,retail
32,2025-02-04,42.15,fuel
33,2025-02-04,34.84,groceries
41,2025-02-04,15.75,utilities
60,2025-02-04,12.55,groceries
61,2025-02-04,60.01,dining
70,2025-02-04,28.08,retail
107,2025-02-04,124.82,utilities
110,2025-02-04,30.65,fuel
112,2025-02-04,13.28,groceries
114,2025-02-04,41.84,retail
116,2025-02-04,19.02,retail
4,2025-02-05,50.83,retail
13,2025-02-05,16.96,groceries
20,2025-02-05,60.94,travel
33,2025-02-05,87.35,groceries
34,2025-02-05,12.55,groceries
42,2025-02-05,41.8,retail
50,2025-02-05,50.73,utilities
58,2025-02-05,32.69,retail
59,2025-02-05,42.68,travel
65,2025-02-05,20.72,retail
67,2025-02-05,31.12,fuel
69,2025-02-05,6.4,retail
84,2025-02-05,45.0,fuel
85,2025-02-05,95.04,retail
97,2025-02-05,58.99,fuel
103,2025-02-05,44.18,retail
117,2025-02-05,27.98,travel
14,2025-02-06,28.68,utilities
18,2025-02-06,78.37,fuel
46,2025-02-06,46.3,groceries
48,2025-02-06,19.4,travel
59,2025-02-06,18.24,travel
81,2025-02-06,84.53,travel
82,2025-02-06,11.28,dining
88,2025-02-06,32.09,dining
94,2025-02-06,70.25,retail
107,2025-02-06,263.13,fuel
113,2025-02-06,38.2,dining
120,2025-02-06,21.33,fuel
6,2025-02-07,42.84,utilities
12,2025-02-07,54.33,retail
22,2025-02-07,21.3,retail
28,2025-02-07,50.93,utilities
41,2025-02-07,5.13,groceries
51,2025-02-07,30.98,fuel
63,2025-02-07,16.67,utilities
67,2025-02-07,57.02,travel
73,2025-02-07,8.21,fuel
75,2025-02-07,25.67,travel
92,2025-02-07,10.86,dining
93,2025-02-07,28.06,utilities
95,2025-02-07,8.3,dining
102,2025-02-07,23.63,fuel
103,2025-02-07,28.21,travel
104,2025-02-07,22.2,retail
105,2025-02-07,71.32,groceries
109,2025-02-07,4.05,fuel
112,2025-02-07,75.18,utilities
114,2025-02-07,26.31,travel
3,2025-02-08,32.14,dining
20,2025-02-08,137.82,fuel
29,2025-02-08,38.28,travel
39,2025-02-08,132.77,groceries
40,2025-02-08,73.68,travel
45,2025-02-08,34.7,groceries
52,2025-02-08,66.48,dining
64,2025-02-08,29.47,fuel
75,2025-02-08,13.8,fuel
79,2025-02-08,17.9,retail
84,2025-02-08,55.6,dining
87,2025-02-08,33.48,dining
101,2025-02-08,41.04,groceries
107,2025-02-08,11.0,travel
112,2025-02-08,31.02,fuel
117,2025-02-08,9.43,travel
3,2025-02-09,34.75,groceries
5,2025-02-09,44.17,groceries
26,2025-02-09,60.37,retail
30,2025-02-09,137.13,travel
35,2025-02-09,158.51,retail
64,2025-02-09,321.6,groceries
65,2025-02-09,4.6,utilities
75,2025-02-09,7.48,travel
77,2025-02-09,31.54,groceries
88,2025-02-09,22.8,dining
89,2025-02-09,12.21,fuel
91,2025-02-09,34.58,utilities
95,2025-02-09,41.09,utilities
101,2025-02-09,55.14,groceries
111,2025-02-09,36.3,utilities
116,2025-02-09,92.91,travel
1,2025-02-10,19.23,utilities
2,2025-02-10,34.25,travel
11,2025-02-10,131.33,retail
13,2025-02-10,59.18,utilities
23,2025-02-10,18.3,fuel
37,2025-02-10,30.97,utilities
43,2025-02-10,40.85,travel
50,2025-02-10,67.69,travel
53,2025-02-10,57.08,retail
56,2025-02-10,174.96,fuel
62,2025-02-10,36.8,utilities
71,2025-02-10,25.05,fuel
73,2025-02-10,49.04,fuel
74,2025-02-10,11.46,retail
82,2025-02-10,30.42,groceries
90,2025-02-10,83.21,dining
92,2025-02-10,34.94,utilities
96,2025-02-10,85.59,travel
98,2025-02-10,16.63,fuel
105,2025-02-10,171.03,retail
112,2025-02-10,18.77,utilities
114,2025-02-10,9.82,fuel
115,2025-02-10,56.26,dining
7,2025-02-11,23.67,groceries
8,2025-02-11,72.35,dining
10,2025-02-11,37.25,utilities
20,2025-02-11,36.28,fuel
21,2025-02-11,8.9,utilities
34,2025-02-11,28.29,retail
35,2025-02-11,20.38,utilities
37,2025-02-11,49.13,fuel
49,2025-02-11,154.27,groceries
53,2025-02-11,16.69,groceries
56,2025-02-11,10.68,travel
57,2025-02-11,36.5,groceries
91,2025-02-11,29.22,retail
99,2025-02-11,153.54,travel
111,2025-02-11,24.62,fuel
114,2025-02-11,22.78,utilities
116,2025-02-11,42.79,fuel
120,2025-02-11,94.54,dining
19,2025-02-12,165.08,fuel
31,2025-02-12,52.98,fuel
54,2025-02-12,23.87,fuel
59,2025-02-12,31.13,travel
63,2025-02-12,42.83,dining
64,2025-02-12,71.98,fuel
65,2025-02-12,8.94,travel
68,2025-02-12,53.76,travel
69,2025-02-12,107.22,fuel
76,2025-02-12,56.61,utilities
80,2025-02-12,52.21,retail
83,2025-02-12,110.47,utilities
95,2025-02-12,48.18,fuel
97,2025-02-12,26.77,travel
106,2025-02-12,18.36,retail
4,2025-02-13,54.3,dining
7,2025-02-13,14.38,dining
22,2025-02-13,44.73,travel
38,2025-02-13,49.58,groceries
40,2025-02-13,6.22,travel
47,2025-02-13,39.93,travel
53,2025-02-13,24.92,travel
66,2025-02-13,69.58,groceries
73,2025-02-13,7.33,fuel
81,2025-02-13,41.42,dining
90,2025-02-13,8.17,utilities
94,2025-02-13,8.37,dining
105,2025-02-13,34.61,fuel
108,2025-02-13,26.77,dining
113,2025-02-13,65.77,utilities
119,2025-02-13,10.41,fuel
7,2025-02-14,85.21,fuel
9,2025-02-14,58.7,utilities
15,2025-02-14,118.7,fuel
16,2025-02-14,20.98,retail
17,2025-02-14,45.48,travel
20,2025-02-14,23.52,retail
22,2025-02-14,53.51,utilities
25,2025-02-14,39.11,utilities
47,2025-02-14,9.62,dining
51,2025-02-14,34.9,groceries
60,2025-02-14,54.66,travel
62,2025-02-14,12.12,utilities
86,2025-02-14,63.12,groceries
96,2025-02-14,113.53,retail
100,2025-02-14,33.47,fuel
102,2025-02-14,24.53,retail
106,2025-02-14,10.33,fuel
109,2025-02-14,81.31,travel
113,2025-02-14,59.85,retail
8,2025-02-15,21.24,groceries
23,2025-02-15,41.56,dining
24,2025-02-15,45.63,retail
28,2025-02-15,240.16,utilities
32,2025-02-15,109.07,travel
36,2025-02-15,60.73,travel
43,2025-02-15,64.34,groceries
55,2025-02-15,7.6,utilities
58,2025-02-15,17.65,dining
66,2025-02-15,121.99,groceries
78,2025-02-15,15.93,groceries
88,2025-02-15,28.89,retail
100,2025-02-15,49.57,travel
109,2025-02-15,19.69,retail
118,2025-02-15,62.05,fuel
12,2025-02-16,271.69,fuel
27,2025-02-16,79.34,fuel
35,2025-02-16,19.35,travel
41,2025-02-16,14.92,groceries
42,2025-02-16,18.64,utilities
44,2025-02-16,30.02,fuel
48,2025-02-16,25.3,retail
51,2025-02-16,34.05,groceries
71,2025-02-16,45.59,dining
80,2025-02-16,115.27,retail
82,2025-02-16,11.2,utilities
85,2025-02-16,39.09,fuel
92,2025-02-16,208.47,dining
95,2025-02-16,22.29,utilities
110,2025-02-16,30.39,dining
111,2025-02-16,62.5,retail
116,2025-02-16,3.2,dining
117,2025-02-16,95.27,groceries
1,2025-02-17,19.59,groceries
2,2025-02-17,58.77,fuel
8,2025-02-17,13.55,dining
16,2025-02-17,53.71,fuel
18,2025-02-17,19.27,groceries
21,2025-02-17,20.2,utilities
25,2025-02-17,38.51,dining
33,2025-02-17,94.19,fuel
45,2025-02-17,74.87,travel
47,2025-02-17,123.51,groceries
54,2025-02-17,45.91,fuel
60,2025-02-17,17.47,retail
61,2025-02-17,18.08,retail
67,2025-02-17,64.05,groceries
70,2025-02-17,32.77,utilities
72,2025-02-17,45.47,utilities
76,2025-02-17,45.37,utilities
79,2025-02-17,5.58,dining
84,2025-02-17,22.45,fuel
104,2025-02-17,45.3,groceries
109,2025-02-17,11.47,utilities
3,2025-02-18,10.71,groceries
7,2025-02-18,66.86,retail
21,2025-02-18,9.4,utilities
25,2025-02-18,11.22,utilities
39,2025-02-18,14.83,fuel
41,2025-02-18,25.76,dining
90,2025-02-18,181.55,fuel
94,2025-02-18,66.02,utilities
107,2025-02-18,24.53,retail
120,2025-02-18,8.69,dining
5,2025-02-19,139.31,groceries
6,2025-02-19,27.87,groceries
9,2025-02-19,54.98,fuel
11,2025-02-19,30.58,utilities
14,2025-02-19,32.74,groceries
18,2025-02-19,63.38,groceries
46,2025-02-19,111.39,utilities
52,2025-02-19,15.85,travel
61,2025-02-19,131.54,travel
63,2025-02-19,11.1,groceries
103,2025-02-19,108.45,fuel
108,2025-02-19,37.26,fuel
114,2025-02-19,18.89,retail
118,2025-02-19,20.34,groceries
1,2025-02-20,24.93,utilities
15,2025-02-20,50.55,groceries
18,2025-02-20,9.44,travel
25,2025-02-20,36.04,fuel
30,2025-02-20,160.54,utilities
53,2025-02-20,35.38,groceries
75,2025-02-20,57.06,travel
89,2025-02-20,52.87,utilities
111,2025-02-20,10.72,retail
19,2025-02-21,54.51,utilities
37,2025-02-21,59.26,travel
63,2025-02-21,71.05,utilities
68,2025-02-21,101.25,retail
74,2025-02-21,170.53,retail
78,2025-02-21,16.41,dining
93,2025-02-21,129.4,utilities
99,2025-02-21,18.41,dining
102,2025-02-21,4.35,travel
106,2025-02-21,136.28,fuel
110,2025-02-21,51.37,travel
112,2025-02-21,19.68,retail
113,2025-02-21,29.42,travel
117,2025-02-21,24.63,dining
5,2025-02-22,12.62,fuel
12,2025-02-22,114.37,utilities
26,2025-02-22,20.02,groceries
29,2025-02-22,103.82,fuel
31,2025-02-22,12.97,dining
36,2025-02-22,72.1,fuel
51,2025-02-22,16.82,travel
52,2025-02-22,34.35,fuel
54,2025-02-22,7.68,retail
57,2025-02-22,43.29,fuel
58,2025-02-22,28.91,utilities
65,2025-02-22,15.74,fuel
71,2025-02-22,53.58,fuel
84,2025-02-22,105.85,groceries
87,2025-02-22,26.67,fuel
111,2025-02-22,33.56,retail
115,2025-02-22,154.67,groceries
13,2025-02-23,31.05,fuel
23,2025-02-23,18.52,utilities
32,2025-02-23,120.96,fuel
34,2025-02-23,16.54,travel
49,2025-02-23,105.93,travel
50,2025-02-23,33.8,fuel
69,2025-02-23,72.18,fuel
77,2025-02-23,53.71,fuel
80,2025-02-23,43.53,dining
101,2025-02-23,67.87,fuel
116,2025-02-23,63.05,groceries
119,2025-02-23,4.77,fuel
5,2025-02-24,15.42,travel
10,2025-02-24,74.76,retail
16,2025-02-24,90.61,utilities
22,2025-02-24,102.13,travel
40,2025-02-24,21.73,groceries
51,2025-02-24,18.41,dining
52,2025-02-24,20.13,travel
55,2025-02-24,18.73,retail
66,2025-02-24,33.16,groceries
71,2025-02-24,23.3,dining
73,2025-02-24,63.89,retail
91,2025-02-24,9.91,travel
94,2025-02-24,37.47,fuel
95,2025-02-24,79.9,travel
98,2025-02-24,93.81,fuel
2,2025-02-25,214.89,dining
4,2025-02-25,18.96,dining
11,2025-02-25,49.22,travel
13,2025-02-25,20.03,travel
15,2025-02-25,36.48,travel
17,2025-02-25,67.68,dining
18,2025-02-25,26.92,travel
