order_id,customer_id,order_date,amount,status,channel
50231,35,2024-07-26,49.05,completed,mobile
50232,99,2024-11-11,38.0,completed,web
50233,88,2025-09-09,41.42,completed,store
50234,51,2025-11-24,10.69,completed,web
50235,52,2025-07-23,88.43,pending,web
50236,102,2024-01-13,32.95,pending,web
50237,81,2024-03-27,64.2,completed,web
50238,9,2025-10-23,49.67,completed,web
50239,60,2025-08-10,38.33,pending,web
50240,88,2024-12-28,32.73,completed,web
50241,20,2025-09-26,88.55,pending,web
50242,71,2024-03-30,37.63,completed,mobile
50243,103,2025-10-07,17.56,refunded,web
50244,70,2024-12-18,182.97,pending,web
50245,4,2024-08-12,10.28,pending,mobile
50246,99,2024-08-26,74.58,refunded,web
50247,29,2025-02-01,14.63,completed,web
50248,76,2025-01-02,67.51,completed,mobile
50249,104,2025-05-19,58.82,completed,web
50250,30,2024-01-21,56.75,cancelled,web
50251,17,2024-06-30,251.07,completed,mobile
50252,111,2024-03-15,46.09,completed,web
50253,21,2025-03-23,71.05,cancelled,mobile
50254,119,2024-12-31,20.45,completed,web
50255,94,2024-05-10,108.81,cancelled,web
50256,78,2025-09-18,21.4,pending,web
50257,96,2024-12-21,127.02,completed,web
50258,34,2024-03-10,19.62,refunded,web
50259,50,2025-03-05,53.72,cancelled,web
50260,107,2025-08-14,110.35,completed,web
50261,103,2024-10-28,22.74,pending,web
50262,10,2024-04-05,40.89,cancelled,store
50263,21,2024-12-05,32.13,refunded,mobile
50264,119,2024-09-28,76.2,completed,web
50265,74,2025-05-17,24.77,pending,web
50266,106,2025-09-06,52.89,completed,web
50267,38,2025-04-29,112.7,pending,web
50268,115,2024-04-03,76.54,completed,store
50269,48,2024-02-15,28.64,completed,mobile
50270,73,2025-11-14,9.28,cancelled,web
50271,97,2025-07-20,19.21,cancelled,web
50272,69,2025-05-01,62.72,completed,web
50273,116,2024-02-05,56.31,cancelled,mobile
50274,80,2025-04-04,21.21,refunded,web
50275,106,2025-09-01,41.65,completed,store
50276,67,2024-01-13,165.43,cancelled,mobile
50277,15,2024-05-31,68.9,completed,store
50278,73,2024-10-19,115.45,refunded,web
50279,78,2024-06-25,37.24,cancelled,mobile
50280,52,2024-12-05,73.13,pending,store
50281,115,2024-12-11,106.07,completed,mobile
50282,110,2024-04-10,17.54,completed,web
50283,54,2024-04-01,30.66,pending,mobile
50284,98,2025-01-17,143.41,completed,web
50285,91,2024-05-18,129.01,cancelled,web
50286,25,2024-07-24,105.08,pending,web
50287,47,2024-10-07,38.16,pending,mobile
50288,16,2024-09-04,34.53,completed,store
50289,61,2024-12-24,13.48,completed,mobile
50290,89,2024-01-29,44.81,cancelled,mobile
50291,28,2025-10-24,32.94,refunded,web
50292,3,2025-11-29,93.58,completed,web
50293,78,2024-11-08,158.76,completed,web
50294,49,2025-04-15,27.71,refunded,mobile
50295,80,2024-04-14,68.07,completed,web
50296,14,2024-12-10,111.43,refunded,store
50297,84,2024-06-02,56.44,completed,mobile
50298,103,2025-02-17,113.66,refunded,web
50299,64,2024-09-22,147.9,refunded,web
50300,91,2024-07-13,24.58,refunded,mobile
50301,101,2025-11-18,40.66,completed,mobile
50302,113,2024-10-27,8.7,completed,store
50303,116,2024-04-01,32.41,completed,web
50304,114,2024-09-23,68.9,completed,web
50305,111,2025-08-17,170.17,refunded,web
50306,39,2024-06-03,28.18,pending,store
50307,115,2025-04-13,40.9,pending,web
50308,98,2025-08-13,116.23,completed,web
50309,56,2025-02-17,44.79,completed,web
50310,26,2024-01-15,57.17,completed,mobile
50311,32,2024-12-18,40.23,cancelled,mobile
50312,22,2024-02-16,36.06,refunded,mobile
50313,68,2024-05-17,5.34,completed,mobile
50314,22,2025-02-17,13.37,completed,web
50315,84,2025-01-19,114.18,cancelled,mobile
50316,77,2025-11-08,49.77,completed,web
50317,20,2025-10-07,15.87,completed,mobile
50318,35,2024-05-20,16.99,cancelled,mobile
50319,16,2024-04-18,54.14,completed,mobile
50320,26,2025-02-23,40.02,pending,store
50321,89,2024-12-04,67.61,completed,mobile
50322,10,2024-04-13,287.03,pending,store
50323,38,2024-02-21,26.92,completed,store
50324,47,2024-11-16,48.32,completed,web
50325,18,2024-06-23,5.11,cancelled,web
50326,94,2024-12-16,25.24,pending,web
50327,50,2025-05-04,189.68,completed,web
50328,90,2024-06-12,51.49,pending,web
50329,49,2025-09-18,20.93,completed,web
50330,84,2025-11-25,62.88,refunded,mobile
50331,86,2025-06-15,61.1,completed,web
50332,94,2024-12-20,106.24,completed,mobile
50333,72,2025-09-19,16.13,completed,web
50334,36,2024-08-16,61.47,completed,web
50335,57,2025-04-03,16.48,completed,web
50336,64,2024-01-19,20.37,cancelled,mobile
50337,106,2025-09-10,200.29,refunded,mobile
50338,44,2024-02-25,19.04,cancelled,web
50339,85,2025-04-08,29.49,refunded,store
50340,38,2025-01-17,74.35,completed,web
50341,106,2025-02-23,12.52,completed,web
50342,110,2025-04-13,97.97,completed,web
50343,54,2025-10-10,180.69,pending,web
50344,76,2024-05-17,118.03,pending,mobile
50345,62,2024-06-30,76.59,completed,web
50346,85,2024-11-25,55.13,cancelled,store
50347,98,2025-02-11,50.43,pending,mobile
50348,114,2024-11-02,165.06,completed,mobile
50349,120,2024-08-10,17.11,completed,mobile
50350,118,2025-10-27,64.76,refunded,web
50351,46,2025-08-19,74.4,pending,mobile
50352,115,2024-10-19,141.59,completed,mobile
50353,4,2024-02-24,74.46,completed,store
50354,88,2024-03-04,80.99,cancelled,web
50355,105,2025-09-22,61.39,refunded,web
50356,86,2025-01-25,149.82,cancelled,web
50357,96,2025-09-27,49.05,refunded,mobile
50358,83,2025-08-25,64.81,refunded,store
50359,38,2025-11-30,80.58,completed,web
50360,72,2024-06-13,64.35,completed,web
50361,120,2024-06-06,257.36,refunded,mobile
50362,85,2025-08-09,59.08,refunded,web
50363,29,2025-06-17,15.3,pending,mobile
50364,52,2024-08-14,287.32,completed,web
50365,28,2025-09-25,23.82,cancelled,store
50366,32,2025-11-29,135.51,completed,web
50367,70,2024-01-26,21.66,pending,web
50368,38,2024-07-16,41.04,completed,web
50369,99,2024-01-08,69.03,refunded,mobile
50370,111,2024-04-16,32.61,completed,mobile
50371,504,2024-03-30,37.0,completed,store
50372,53,2025-10-07,44.53,pending,mobile
50373,508,2025-08-22,35.97,completed,mobile
50374,39,2024-10-15,108.62,pending,mobile
50375,4,2025-06-30,10.88,cancelled,web
50376,82,2025-11-24,249.8,completed,mobile
50377,72,2024-02-12,151.68,completed,web
50378,95,2024-12-18,99.25,completed,web
50379,107,2024-04-27,48.16,completed,mobile
50380,33,2025-08-17,53.1,completed,mobile
50381,31,2025-09-26,25.08,pending,web
50382,79,2025-08-21,16.94,completed,store
50383,,2024-08-14,129.22,completed,mobile
50384,18,2024-12-05,152.3,completed,mobile
50385,63,2024-06-28,68.8,completed,store
50386,18,2024-07-20,13.14,completed,mobile
50387,75,2025-08-27,64.53,completed,web
50388,29,2025-08-26,88.21,pending,mobile
50389,12,2025-05-29,165.02,completed,web
50390,23,2025-08-02,106.28,completed,web
50391,98,2024-03-05,34.86,refunded,web
50392,117,2025-02-01,50.35,completed,web
50393,84,2025-06-17,71.39,refunded,web
50394,70,2025-01-20,77.72,refunded,store
50395,10,2025-01-20,25.76,completed,web
50396,62,2024-01-07,54.77,completed,web
50397,66,2024-08-04,29.81,cancelled,mobile
50398,16,2025-02-28,276.45,pending,mobile
50399,62,2024-06-14,78.61,completed,web
50400,74,2024-05-17,66.46,cancelled,web
50401,22,2024-07-03,56.87,cancelled,mobile
50402,113,2025-11-08,19.1,pending,store
50403,22,2025-02-24,111.71,completed,mobile
50404,66,2024-12-16,251.25,completed,web
50405,50,2024-01-17,55.2,completed,mobile
50406,23,2025-09-21,179.58,cancelled,mobile
50407,16,2025-11-06,14.02,completed,store
50408,100,2025-03-17,57.46,completed,mobile
50409,55,2025-05-08,108.03,cancelled,mobile
50410,117,2025-08-12,52.28,completed,web
50411,113,2024-09-20,11.48,completed,mobile
50412,16,2025-01-19,112.37,completed,web
50413,14,2025-10-29,64.62,cancelled,web
50414,47,2025-11-27,45.25,cancelled,mobile
50415,62,2025-07-26,60.78,completed,mobile
50416,100,2024-05-21,249.47,refunded,web
50417,101,2024-06-14,16.68,completed,mobile
50418,79,2024-02-23,49.37,completed,web
50419,78,2025-01-28,155.68,refunded,mobile
50420,92,2024-02-28,78.62,completed,store
50421,120,2024-10-19,6.96,cancelled,mobile
50422,30,2025-11-21,38.32,cancelled,web
50423,2,2024-03-11,212.11,refunded,mobile
50424,118,2024-12-21,138.9,cancelled,store
50425,59,2025-08-11,55.74,cancelled,web
50426,15,2024-09-20,78.03,pending,mobile
50427,99,2024-12-13,189.21,pending,store
50428,,2024-03-10,24.3,completed,mobile
50429,30,2025-02-26,215.64,completed,mobile
50430,34,2024-04-05,30.37,completed,web
50431,120,2024-11-17,7.24,completed,web
50432,96,2024-07-13,54.5,refunded,web
50433,34,2024-07-26,21.12,completed,store
50434,87,2025-05-19,110.39,cancelled,store
50435,109,2025-09-27,201.48,completed,web
50436,98,2024-10-13,30.08,completed,web
50437,103,2025-07-07,19.22,refunded,mobile
50438,59,2025-06-14,45.27,completed,mobile
50439,49,2024-11-29,12.67,completed,mobile
50440,31,2025-09-19,41.25,pending,web
50441,90,2025-01-08,111.86,completed,mobile
50442,74,2024-04-12,282.47,cancelled,web
50443,49,2024-06-02,52.47,pending,web
50444,115,2025-06-13,58.7,pending,web
50445,72,2024-02-18,33.83,completed,web
50446,33,2025-10-06,31.58,cancelled,store
50447,33,2025-02-25,74.84,completed,store
50448,37,2025-11-20,58.42,pending,store
50449,49,2025-04-19,68.35,completed,mobile
50450,119,2025-10-08,71.89,completed,web
50451,44,2024-11-20,117.98,cancelled,mobile
50452,35,2025-01-06,116.11,pending,web
50453,24,2024-05-08,145.87,refunded,mobile
50454,11,2025-02-10,185.47,completed,mobile
50455,68,2024-03-26,12.03,completed,mobile
50456,114,2024-08-22,32.64,refunded,web
50457,68,2024-01-30,19.03,completed,store
50458,60,2025-07-07,222.42,completed,store
50459,90,2025-08-28,80.29,refunded,store
50460,56,2025-10-16,93.78,pending,mobile
50461,104,2024-11-11,41.91,completed,web
50462,67,2024-05-19,35.56,completed,mobile
50463,63,2025-05-03,15.67,completed,mobile
50464,,2025-02-25,146.94,completed,web
50465,95,2025-01-22,35.08,refunded,web
50466,98,2025-09-19,226.38,completed,mobile
50467,69,2025-02-26,48.47,refunded,mobile
50468,25,2024-06-04,13.3,completed,store
50469,37,2025-03-24,84.07,completed,web
50470,28,2024-11-15,125.29,completed,web
50471,102,2024-03-23,16.78,completed,store
50472,33,2024-01-13,11.02,pending,web
50473,5,2024-04-06,306.0,pending,web
50474,40,2024-06-11,66.46,cancelled,mobile
50475,33,2024-11-01,107.55,completed,web
50476,56,2024-06-20,153.49,pending,mobile
50477,2,2025-08-18,120.03,cancelled,web
50478,99,2024-06-10,54.58,completed,store
50479,98,2024-03-02,42.56,cancelled,mobile
50480,17,2024-11-20,374.19,pending,mobile
50481,3,2025-01-01,84.5,completed,web
50482,57,2025-07-09,77.84,completed,mobile
50483,42,2024-10-08,207.66,cancelled,web
50484,68,2024-10-29,150.82,pending,web
50485,82,2024-07-08,237.09,completed,mobile
50486,31,2024-03-05,90.07,pending,web
50487,88,2025-07-18,27.02,pending,mobile
50488,15,2025-11-05,23.47,completed,web
50489,83,2025-11-04,52.5,cancelled,web
50490,47,2024-03-13,135.68,refunded,web
50491,72,2025-03-01,64.02,completed,web
50492,28,2024-04-09,25.63,pending,web
50493,68,2025-08-06,68.21,refunded,mobile
50494,96,2025-10-15,76.94,refunded,mobile
50495,114,2024-07-03,63.25,refunded,web
50496,77,2024-12-26,201.23,completed,mobile
50497,53,2025-03-16,110.28,completed,mobile
50498,28,2025-07-17,125.6,pending,web
50499,,2024-10-18,72.93,completed,web
50500,29,2024-11-18,80.0,cancelled,mobile
50501,74,2024-06-07,18.24,completed,web
50502,47,2024-09-12,6.95,completed,mobile
50503,73,2024-03-20,263.56,completed,web
50504,116,2025-08-13,91.38,refunded,web
50505,94,2025-01-25,100.06,pending,web
50506,112,2024-08-20,66.94,cancelled,web
50507,70,2024-11-30,54.84,completed,mobile
50508,51,2025-09-01,61.6,pending,web
50509,51,2024-12-10,13.19,completed,mobile
50510,34,2025-05-28,39.8,completed,web
50511,26,2025-10-29,69.2,refunded,mobile
50512,32,2025-03-16,46.01,completed,web
50513,,2024-12-24,49.47,completed,store
50514,30,2025-01-17,8.61,completed,web
50515,7,2025-09-27,75.04,pending,web
50516,43,2025-07-04,21.62,completed,mobile
50517,80,2024-05-24,128.7,pending,mobile
50518,85,2024-09-18,27.9,refunded,mobile
50519,7,2024-01-09,43.45,completed,store
50520,84,2025-01-24,56.99,completed,web
50521,77,2024-07-09,74.27,completed,web
50522,68,2025-05-16,45.4,completed,mobile
50523,46,2024-08-29,38.54,completed,store
50524,114,2024-01-31,29.73,pending,mobile
50525,12,2025-06-17,69.19,completed,mobile
50526,55,2025-09-11,31.7,completed,mobile
50527,75,2024-07-26,117.35,refunded,store
50528,117,2024-05-28,92.16,completed,web
50529,72,2024-05-01,143.36,refunded,store
50530,115,2024-10-07,29.23,completed,web
50531,98,2025-09-23,24.9,completed,mobile
50532,30,2025-01-02,47.94,completed,store
50533,63,2024-06-16,30.82,refunded,mobile
50534,26,2024-03-08,43.33,refunded,web
50535,59,2025-03-13,47.24,refunded,mobile
50536,93,2025-09-18,243.7,cancelled,mobile
50537,113,2024-02-09,57.68,completed,store
50538,32,2025-02-09,27.13,completed,web
50539,57,2024-11-07,95.47,completed,web
50540,79,2025-06-13,163.59,refunded,web
50541,93,2024-07-03,76.0,pending,web
50542,4,2025-08-27,26.31,refunded,mobile
50543,92,2024-04-03,19.65,completed,web
50544,91,2025-06-07,66.32,cancelled,web
50545,99,2024-12-09,72.28,completed,web
50546,19,2024-02-22,46.07,pending,web
50547,24,2024-05-14,54.22,completed,mobile
50548,64,2025-08-25,83.57,pending,web
50549,535,2025-09-26,154.9,completed,web
50550,19,2024-12-23,245.5,completed,web
50551,12,2025-03-02,21.6,refunded,mobile
50552,101,2025-04-11,96.38,completed,web
50553,39,2025-01-23,377.41,cancelled,web
50554,61,2024-10-08,35.7,completed,mobile
50555,79,2025-08-08,134.68,completed,web
50556,89,2024-10-21,27.14,completed,mobile
50557,80,2024-05-12,76.01,refunded,mobile
50558,64,2025-09-16,31.52,completed,web
50559,4,2024-04-30,84.51,cancelled,store
50560,53,2024-12-24,69.62,completed,mobile
50561,89,2024-03-10,30.93,completed,mobile
50562,15,2024-12-15,38.41,completed,mobile
50563,25,2024-12-12,178.06,pending,mobile
50564,83,2024-06-08,304.41,cancelled,store
50565,60,2025-02-27,58.59,refunded,web
50566,542,2024-12-28,115.8,pending,mobile
50567,108,2025-09-12,36.68,completed,mobile
50568,41,2024-10-05,42.53,completed,web
50569,107,2024-08-09,57.07,completed,mobile
50570,100,2024-04-04,50.19,pending,store
50571,20,2025-05-10,111.22,completed,web
50572,112,2025-06-12,73.49,refunded,web
50573,50,2025-06-18,24.22,completed,mobile
50574,77,2024-12-07,51.9,cancelled,mobile
50575,96,2025-08-14,155.04,completed,web
50576,25,2025-06-29,34.06,completed,web
50577,21,2024-01-16,249.02,completed,web
50578,45,2024-10-04,9.32,completed,mobile
50579,22,2025-09-19,189.61,completed,web
50580,61,2024-02-21,47.91,cancelled,store
50581,81,2025-04-01,69.87,completed,mobile
50582,86,2024-03-21,51.54,refunded,web
50583,59,2025-10-21,96.87,completed,store
50584,19,2025-09-23,31.37,completed,mobile
50585,86,2024-11-28,50.89,pending,web
50586,62,2024-06-23,33.53,cancelled,web
50587,14,2024-04-19,26.46,completed,mobile
50588,52,2024-09-01,80.63,pending,web
50589,44,2025-08-28,63.37,refunded,web
50590,85,2025-08-10,95.05,cancelled,web
50591,72,2025-03-31,404.59,pending,web
50592,83,2024-04-02,33.84,cancelled,store
50593,82,2024-05-30,83.84,completed,web
50594,74,2024-07-29,80.42,cancelled,mobile
50595,87,2025-03-21,76.1,completed,store
50596,8,2025-07-16,24.71,completed,web
50597,90,2025-10-02,35.53,pending,web
50598,28,2025-05-01,16.71,completed,mobile
50599,20,2025-11-17,70.3,pending,mobile
50600,18,2025-10-19,288.73,pending,mobile
50601,71,2025-01-28,42.13,cancelled,web
50602,64,2024-08-30,83.37,cancelled,mobile
50603,5,2025-08-04,52.53,cancelled,web
50604,89,2025-06-23,116.75,completed,mobile
50605,79,2025-04-28,96.22,refunded,web
50606,82,2025-08-16,40.91,completed,mobile
50607,2,2025-06-08,219.16,completed,web
50608,103,2024-06-20,206.88,cancelled,web
50609,81,2024-06-22,74.38,completed,mobile
50610,,2024-05-09,57.68,completed,web
50611,79,2024-09-20,17.08,completed,mobile
50612,48,2024-09-24,93.63,completed,mobile
50613,111,2024-03-27,102.29,pending,web
50614,57,2024-06-20,11.16,completed,web
50615,34,2024-04-28,16.16,pending,web
50616,96,2025-06-29,16.0,pending,web
50617,19,2025-03-21,43.29,cancelled,mobile
50618,6,2025-06-28,16.22,completed,web
50619,35,2024-09-18,79.02,refunded,mobile
50620,94,2024-07-18,59.76,completed,web
50621,2,2024-03-10,19.25,completed,mobile
50622,33,2024-01-25,65.67,cancelled,mobile
50623,107,2025-09-05,108.82,completed,web
50624,78,2025-11-03,162.84,completed,store
50625,90,2024-10-28,25.66,refunded,web
50626,36,2025-11-14,97.68,completed,mobile
50627,36,2025-01-26,8.3,completed,web
